"clean_file","orig_file","year","date"
"ALHR71DT_2021-08-11.RDS","ALHR71DT.DTA","2017","2021-08-11"
"ALIR71DT_2021-08-11.RDS","ALIR71DT.DTA","2017","2021-08-11"
"ALHR51DT_2021-08-11.RDS","ALHR51DT.DTA","2008","2021-08-11"
"ALIR51DT_2021-08-11.RDS","ALIR51DT.DTA","2008","2021-08-11"
"AOHR71DT_2021-08-11.RDS","AOHR71DT.DTA","2015","2021-08-11"
"AOIR71DT_2021-08-11.RDS","AOIR71DT.DTA","2015","2021-08-11"
"AOHR62DT_2021-08-11.RDS","AOHR62DT.DTA","2011","2021-08-11"
"AOIR62DT_2021-08-11.RDS","AOIR62DT.DTA","2011","2021-08-11"
"AOHR51DT_2021-08-11.RDS","AOHR51DT.DTA","2006","2021-08-11"
"AOIR51DT_2021-08-11.RDS","AOIR51DT.DTA","2006","2021-08-11"
"AMHR72DT_2021-08-11.RDS","AMHR72DT.DTA","2016","2021-08-11"
"AMIR72DT_2021-08-11.RDS","AMIR72DT.DTA","2016","2021-08-11"
"AMHR61DT_2021-08-11.RDS","AMHR61DT.DTA","2010","2021-08-11"
"AMIR61DT_2021-08-11.RDS","AMIR61DT.DTA","2010","2021-08-11"
"BDHR7RDT_2021-08-11.RDS","BDHR7RDT.DTA","2017","2021-08-11"
"BDIR7RDT_2021-08-11.RDS","BDIR7RDT.DTA","2017","2021-08-11"
"BDHR72DT_2021-08-11.RDS","BDHR72DT.DTA","2014","2021-08-11"
"BDIR72DT_2021-08-11.RDS","BDIR72DT.DTA","2014","2021-08-11"
"BDHR61DT_2021-08-11.RDS","BDHR61DT.DTA","2011","2021-08-11"
"BDIR61DT_2021-08-11.RDS","BDIR61DT.DTA","2011","2021-08-11"
"BDHR51DT_2021-08-11.RDS","BDHR51DT.DTA","2007","2021-08-11"
"BDIR51DT_2021-08-11.RDS","BDIR51DT.DTA","2007","2021-08-11"
"BDHR4JDT_2021-08-11.RDS","BDHR4JDT.DTA","2004","2021-08-11"
"BDIR4JDT_2021-08-11.RDS","BDIR4JDT.DTA","2004","2021-08-11"
"BDHR41DT_2021-08-11.RDS","BDHR41DT.DTA","2000","2021-08-11"
"BDIR41DT_2021-08-11.RDS","BDIR41DT.DTA","2000","2021-08-11"
"BJHR71DT_2021-08-11.RDS","BJHR71DT.DTA","2017","2021-08-11"
"BJIR71DT_2021-08-11.RDS","BJIR71DT.DTA","2017","2021-08-11"
"BJHR61DT_2021-08-11.RDS","BJHR61DT.DTA","2012","2021-08-11"
"BJIR61DT_2021-08-11.RDS","BJIR61DT.DTA","2012","2021-08-11"
"BJHR41DT_2021-08-10.RDS","BJHR41DT.DTA","2001","2021-08-11"
"BJIR41DT_2021-08-10.RDS","BJIR41DT.DTA","2001","2021-08-10"
