country,year,ea_id,lat,lon,asset_index,infrastructure_index,n
et,2011,01010101601,14.353816185,37.890876313,-2.0906733829653343,-1.5453615754296748,8
et,2011,01010201403,14.2885896726,38.210251919,-1.4722979108547198,-1.040547339942618,11
et,2011,01010300106,14.1097608206,38.4738350524,-0.448025152741902,1.0256189476958095,9
et,2011,01010301804,13.8440840301,38.4803250395,-2.5823940302910633,-0.6163062930792101,10
et,2011,01010500204,14.0862760222,37.9831865445,-0.9343052215302299,0.5037913932638746,3
et,2011,01010600402,13.642517176,38.1191822345,-2.7354791497463027,-1.566188946803067,10
et,2011,01020100207,14.2834679193,38.5730157222,-1.0380280272066535,1.8676701150011197,10
et,2011,01020200802,14.3007959467,39.0594892637,-2.0221557387207625,-1.4247340468183463,10
et,2011,01020301001,14.1583566438,39.2258474475,-2.0777104866840608,-1.8950774985068415,11
et,2011,01020401702,14.0859773206,38.9755077144,-1.450951154672625,-1.1991880926664937,11
et,2011,01020601301,13.985946938,38.6492990176,-2.5039616410380074,-1.6929629742610819,11
et,2011,01020700101,13.8713387734,38.6366907016,-1.9945876911212799,-1.17698028547289,2
et,2011,01020800603,13.781326561,38.9865118422,-2.0180712652858066,-1.697744367484577,10
et,2011,01020900602,13.691822766,39.2019014551,-1.939796511261584,-1.8950774985068415,11
et,2011,01030100204,14.4559615944,39.4790823741,-1.7952820911396374,-1.276736095176759,11
et,2011,01030300605,14.2527065254,39.6508902034,-2.089807216086139,-1.8269151921939213,11
et,2011,01030400101,14.3192174691,39.2715992602,-1.7988000041936343,-1.1128849179981222,11
et,2011,01030501202,13.9843705066,39.5331294187,-2.3186834808911545,-1.1895623209740986,12
et,2011,01030600608,13.8014265472,39.6182529669,-2.200983263433257,-1.6804439486447509,9
et,2011,01030700116,13.8426043605,39.7196438594,-2.106414667682175,-0.3138405569632877,7
et,2011,01030700709,13.895387614,39.7873002106,-1.791037258703842,-0.6944405289425559,9
et,2011,01040101204,13.2349577336,39.1634392625,-1.9074993690143074,-0.5597243330853218,10
et,2011,01040300109,13.2843556689,39.5298315988,-2.2073173227142715,-0.6913105832062838,6
et,2011,01040300404,13.2820240216,39.4405203839,-1.405753890780346,2.5254472184086687,12
et,2011,01040400103,13.01685124,39.3671636164,-2.790181643382988,-1.6599057726625939,12
et,2011,01040500701,12.7826268158,39.3068867968,-2.3437802564226184,-1.3622561629119951,9
et,2011,01040600803,12.6231333276,39.6516820917,-1.7639416986850245,-0.4601257553733677,7
et,2011,01040800402,12.6209662316,39.4244520175,-2.663791819067103,-1.1166714564166889,9
et,2011,01050100105,14.1819914938,36.4799930893,-2.0141430340907336,-0.41620932870549293,11
et,2011,01050200201,14.0872350664,37.5015263838,-2.8928498663949282,-1.3913309852644837,8
et,2011,01050200712,13.6709932967,37.4064256501,-1.312822067894181,2.3061881839394855,9
et,2011,01050201503,13.731570436,37.3672533162,-2.786108601277857,-1.7071411832475418,7
et,2011,01050301501,13.4774390358,37.121337842,-2.528991062313938,-1.7069401178314434,5
et,2011,01050302304,13.5160575022,37.6273155648,-2.7848962472962095,-1.4616681797611792,9
et,2011,02010200102,11.8858767728,41.5738131116,-1.6842848322379302,-1.4886268052762897,8
et,2011,02010300102,11.6895323459,41.3481202391,-2.911793573747047,-1.566188946803067,9
et,2011,02010300601,11.5311102163,41.4141896542,-2.786704261728641,-1.5113741881857712,6
et,2011,02010300802,11.5278035382,41.5207097044,-2.532379725494376,-1.3425119088924027,4
et,2011,02010400201,11.5223288693,41.5692958857,-2.856001777209608,-1.5029973252424502,11
et,2011,02010500404,11.6284538153,40.8825663765,-2.910036598843255,-1.2373003950992927,6
et,2011,02010501103,11.2140035523,40.2055920948,-2.908914322805094,-1.566188946803067,5
et,2011,02010600402,11.6741945611,40.0955328755,-2.0594465268802753,-1.384821024648672,7
et,2011,02030100101,9.35629919036,40.2364697018,-2.1024233560147314,-0.5895787675795293,5
et,2011,02030200102,9.24924684111,40.0598560794,-2.8228854534809646,-1.8950774985068415,7
et,2011,02030400601,9.51787068443,40.1647901335,-2.8998307300641426,-1.5578579982537102,10
et,2011,02030600601,9.67897313862,39.913593504,-2.240622359912232,-1.1984019092142122,11
et,2011,03010100204,13.3722274393,37.7898736298,-2.742722416444325,-1.566188946803067,5
et,2011,03010400901,13.2058110304,37.7876552215,-2.932722202042749,-1.8219911536837805,9
et,2011,03010800701,12.805251571,37.4183801156,-1.9457718870074439,-1.5096069868091786,10
et,2011,03011001806,12.3384962559,37.6750209615,-2.4777450461171324,-1.5188027371560453,5
et,2011,03011100102,12.556392241,37.3118585142,-1.573872229221441,-0.10878323918684535,9
et,2011,03011200203,12.8017155321,36.93031443,-2.941593958024371,-1.8950774985068415,5
et,2011,03011400816,12.3910703535,35.9335894324,-2.567995017155567,-1.5188027371560453,5
et,2011,03011602804,12.3059878852,37.8380133833,-2.0500625130260555,-0.8606737692703244,4
et,2011,03012000105,12.9196896354,37.032969423,-2.231458256684519,-1.2124132392598017,6
et,2011,03020100703,12.3562967332,38.4524416164,-2.921791241379356,-1.566188946803067,9
et,2011,03020202508,12.0498233904,37.8003237608,-2.0510294446766384,-1.8950774985068415,11
et,2011,03020400906,11.8176445144,38.1602257763,-2.5226035264293754,-1.0489071129852239,11
et,2011,03020501907,11.6454398842,38.4188571016,-2.214207859631522,-1.6860359644230658,9
et,2011,03020703703,11.2385732357,38.311340877,-2.5722786105559954,-1.8950774985068415,9
et,2011,03020900104,11.7869471206,37.5908030302,-1.2243339990313225,-0.5421925579325075,5
et,2011,03020900708,11.6890721348,37.6074550557,-2.3987080094138413,-1.6385265248585714,11
et,2011,03030100204,12.2543903131,38.6525748751,-2.7996794750604956,-1.3979578108584814,7
et,2011,03030200108,12.0062359062,39.6076476069,-1.3015500796976291,-0.21905135019552477,8
et,2011,03030202104,11.991803995,39.7800216474,-2.498708639842201,-1.443829276468424,10
et,2011,03030302404,11.991048262,39.3570736517,-1.9136234170191235,-1.0958454951145717,10
et,2011,03030400906,11.8139982171,39.1404087668,-1.3114444034042663,-0.6199100276477617,9
et,2011,03030501101,11.6549185473,39.0357534985,-2.7517404014514604,-1.4616625394760783,9
et,2011,03030701002,11.9048460332,39.4494717129,-1.0205311831166837,-1.2843096847670836,11
et,2011,03030801617,11.6692064259,39.6566031821,-1.954852177206777,-0.6537930234230208,10
et,2011,03031001701,11.9625257933,39.098154379,-2.2214423187636294,-0.7312999980161404,12
et,2011,03040301401,11.3563674371,39.4349241782,-2.161843034603775,-0.5916547508210611,7
et,2011,03040600801,11.4159600258,39.8485705676,-1.3021174489130614,-0.8488166321475326,6
et,2011,03040901203,11.0874300942,39.7843913054,-2.524938492865629,-0.5427362317163203,8
et,2011,03041100903,11.0268833144,38.9229352692,-1.4095529008738323,-0.940025235437862,9
et,2011,03041200105,10.7561984007,38.7696742804,-1.157838428181912,-0.2955261441546767,4
et,2011,03041402101,10.5685626516,39.2356643786,-2.6989681207926126,-1.3154954901150573,9
et,2011,03041600204,10.5792188385,38.6062533111,-2.9227535299330385,-1.5960879060488646,11
et,2011,03050101504,10.1771510236,38.9727796823,-2.406357708616485,-1.107340183048155,4
et,2011,03050400305,10.0245110384,39.2131652933,-2.7090174904291304,-1.3071481838962224,8
et,2011,03050701204,10.5281537836,39.8131068222,-1.8774970375583573,-0.7453490610460755,9
et,2011,03050900104,10.1249269842,39.6713085476,-0.3287316270229098,-0.3229335234633246,9
et,2011,03051100307,9.89048905403,39.4845296,-1.7688204593358159,-1.1202518606402432,8
et,2011,03051300702,9.55408199803,39.5793387065,-2.016800719346916,-1.7892795439167777,12
et,2011,03051500703,9.61257094668,39.7830434463,-2.6742088039857363,-0.9428959071962678,4
et,2011,03052100808,10.1255685035,39.3173063282,-2.210832702270823,-1.7905567314649538,9
et,2011,03060202603,10.9070459818,38.0365174999,-2.5692343152153128,-1.8097444661009616,12
et,2011,03060402001,10.9551945389,38.2846965084,-0.977481622207326,-0.6728882530730984,10
et,2011,03060602103,10.4180717415,38.1697121297,-1.485752313977946,-1.5754399160172516,9
et,2011,03060901807,10.4216173585,37.5765488785,-1.2826598840121461,-0.9622866046521578,10
