cname,year
AL,2008
AM,2010
AM,2016
AO,2011
AO,2015
BD,2007
BD,2014
BD,2017
BF,2010
BF,2014
BF,2017
BJ,2012
BJ,2017
BU,2010
BU,2012
BU,2016
CD,2007
CD,2013
CI,2012
CM,2011
CM,2018
CO,2010
DR,2007
EG,2014
ET,2011
ET,2016
ET,2019
GA,2012
GH,2008
GH,2014
GH,2016
GH,2019
GN,2012
GN,2018
GU,2015
GY,2009
HT,2006
HT,2012
HT,2016
IA,2015
KE,2008
KE,2014
KE,2015
KM,2012
KY,2012
LB,2007
LB,2009
LB,2011
LB,2013
LB,2016
LB,2019
LS,2009
LS,2014
MD,2008
MD,2011
MD,2013
MD,2016
ML,2006
ML,2012
ML,2015
ML,2018
MM,2016
MW,2010
MW,2012
MW,2014
MW,2015
MW,2017
MZ,2009
MZ,2011
MZ,2015
MZ,2018
NG,2008
NG,2010
NG,2013
NG,2015
NG,2018
NM,2006
NM,2013
NP,2006
NP,2011
NP,2016
PE,2004
PE,2007
PE,2009
PH,2008
PH,2017
PK,2017
RW,2010
RW,2015
SL,2008
SL,2013
SL,2016
SL,2019
SN,2008
SN,2010
SN,2012
SN,2015
SN,2017
SN,2018
SZ,2006
TD,2014
TG,2013
TG,2017
TJ,2012
TJ,2017
TZ,2007
TZ,2010
TZ,2012
TZ,2015
TZ,2017
UG,2006
UG,2009
UG,2011
UG,2014
UG,2016
UG,2018
ZM,2007
ZM,2013
ZM,2018
ZW,2005
ZW,2010
ZW,2015
AL,2017
AO,2006
BD,2000
BD,2004
BD,2011
BF,1999
BF,2003
BJ,1996
BJ,2001
BO,2008
CI,1998
CM,2004
DR,2013
EG,2000
EG,2003
EG,2005
EG,2008
ET,2000
ET,2005
GH,1998
GH,2003
GN,1999
GN,2005
HN,2011
HT,2000
ID,2003
JO,2002
JO,2007
JO,2012
JO,2017
KH,2000
KH,2005
KH,2010
KH,2014
LS,2004
MA,2003
MB,2005
MD,1997
ML,1996
ML,2001
MW,2000
MW,2004
NG,2003
NI,1998
NM,2000
NP,2001
PE,2000
PH,2003
PK,2006
RW,2005
RW,2008
SN,1997
SN,2005
TG,1998
TZ,1999
UG,2000
ZW,1999
